ec_number,description
EC:3.4.16.4,"Function: Catalyzes the cleavage of D-Ala-D-Ala residues in peptidoglycan precursors, playing a key role in cell wall remodeling and maintenance; Role in LAB: Supports cell wall integrity, division, and growth during fermentation; Probiotic/Food Relevance: Ensures structural stability of LAB cells, enhancing survival in food matrices and contributing to consistent fermentation; Biological Pathways: Involved in peptidoglycan biosynthesis, general metabolic pathways, and beta-lactam resistance pathways that regulate cell wall formation and bacterial resilience."
EC:1.1.1.1,"Function: Catalyzes the interconversion of alcohols and aldehydes or ketones, facilitating redox reactions in energy and metabolic pathways; Role in LAB: Supports fermentation by enabling efficient carbohydrate and alcohol metabolism, contributing to growth and energy production; Probiotic/Food Relevance: Enhances flavor compound formation, metabolic activity, and overall fermentative performance of LAB in food products; Biological Pathways: Involved in glycolysis/gluconeogenesis, pyruvate metabolism, fatty acid degradation, amino acid metabolism, and microbial metabolism in diverse environments."
EC:6.4.1.2,"Function: Catalyzes the carboxylation of acetyl-CoA to malonyl-CoA, initiating fatty acid biosynthesis and regulating lipid metabolism; Role in LAB: Supports membrane lipid synthesis and energy storage, promoting growth and cellular function during fermentation; Probiotic/Food Relevance: Enhances LAB survival, metabolic activity, and production of fatty acid-derived compounds that influence flavor and texture in fermented foods; Biological Pathways: Involved in fatty acid biosynthesis, pyruvate metabolism, amino acid degradation, carbon metabolism, and microbial metabolism in diverse environments."
EC:6.3.5.6,"Function: Catalyzes the formation of asparaginyl-tRNA from aspartyl-tRNA using glutamine as an amide donor, enabling proper incorporation of asparagine during protein synthesis; Role in LAB: Ensures accurate translation and efficient protein production, supporting growth and metabolic activity during fermentation; Probiotic/Food Relevance: Maintains LAB protein synthesis and functionality, contributing to consistent fermentation performance and probiotic activity; Biological Pathways: Involved in aminoacyl-tRNA biosynthesis and general metabolic pathways that regulate translation and cellular protein homeostasis."
EC:5.2.1.8,"Function: Catalyzes the cis-trans isomerization of prolyl peptide bonds, facilitating proper protein folding and conformational changes; Role in LAB: Ensures correct folding of proteins, supporting enzymatic activity, stress response, and growth during fermentation; Probiotic/Food Relevance: Enhances LAB metabolic efficiency and stability, contributing to consistent fermentation performance and resilience in food environments; Biological Pathways: Involved in protein folding, spliceosome function, ubiquitin-mediated proteolysis, calcium signaling, and various cellular stress response pathways."
EC:6.3.5.7,"Function: Catalyzes the formation of glutaminyl-tRNA from glutamyl-tRNA using glutamine as an amide donor, enabling accurate incorporation of glutamine during protein synthesis; Role in LAB: Supports precise translation and protein production, essential for growth and metabolic activity during fermentation; Probiotic/Food Relevance: Maintains LAB protein synthesis and functionality, contributing to consistent fermentation performance and probiotic activity; Biological Pathways: Involved in aminoacyl-tRNA biosynthesis and general metabolic pathways that regulate translation and cellular protein homeostasis."
EC:2.3.1.128,"Function: Catalyzes the N-acetylation of alanine residues on ribosomal proteins, contributing to ribosome maturation and stability; Role in LAB: Supports proper ribosome assembly and efficient protein synthesis during growth and fermentation; Probiotic/Food Relevance: Enhances LAB metabolic activity and protein production, ensuring consistent fermentation performance; Biological Pathways: Involved in protein modification and ribosome biogenesis pathways that regulate translation and cellular protein homeostasis."
EC:1.3.5.4,"Function: Catalyzes the oxidation of succinate to fumarate in the TCA cycle while transferring electrons to the electron transport chain; Role in LAB: Supports energy production and efficient metabolism during growth and fermentation; Probiotic/Food Relevance: Enhances LAB energy metabolism and survivability, contributing to consistent fermentation and overall functionality in food products; Biological Pathways: Involved in the TCA cycle, oxidative phosphorylation, and energy metabolism pathways that regulate cellular respiration and metabolic efficiency."
EC:3.1.26.4,"Function: Catalyzes the cleavage of RNA in RNA-DNA hybrids, facilitating removal of RNA primers and processing of nucleic acids; Role in LAB: Supports DNA replication and repair, maintaining genome integrity during growth and fermentation; Probiotic/Food Relevance: Ensures LAB genomic stability and consistent metabolic activity, contributing to reliable fermentation and probiotic functionality; Biological Pathways: Involved in DNA replication, mismatch repair, homologous recombination, and nucleic acid processing pathways that regulate genomic maintenance and cellular adaptation."
EC:1.4.1.13,"Function: Catalyzes the synthesis of glutamate from glutamine and ?-ketoglutarate using NADPH, playing a key role in nitrogen assimilation; Role in LAB: Supports amino acid biosynthesis and nitrogen metabolism, promoting growth and metabolic activity during fermentation; Probiotic/Food Relevance: Enhances LAB nutritional metabolism and survival, contributing to consistent fermentation and functional properties in food products; Biological Pathways: Involved in glutamate, alanine, and aspartate metabolism, nitrogen metabolism, and amino acid biosynthesis pathways that regulate cellular growth and metabolic balance."
EC:2.1.1.63,"Function: Catalyzes the transfer of a methyl group from methylated DNA to a cysteine residue on a protein, repairing methylated DNA and protecting genome integrity; Role in LAB: Maintains DNA stability under stress and supports efficient growth during fermentation; Probiotic/Food Relevance: Enhances LAB resilience and genomic maintenance, contributing to consistent fermentation performance and probiotic functionality; Biological Pathways: Involved in DNA repair and adaptive response pathways that regulate genomic stability and cellular protection."
EC:1.97.1.4,"Function: Activates pyruvate formate-lyase by generating a glycyl radical, enabling anaerobic conversion of pyruvate to formate and acetyl-CoA; Role in LAB: Supports anaerobic energy metabolism and efficient fermentation under low-oxygen conditions; Probiotic/Food Relevance: Enhances LAB growth and metabolic activity in anaerobic food environments, contributing to consistent fermentation and probiotic functionality; Biological Pathways: Involved in anaerobic pyruvate metabolism and energy production pathways that regulate cellular adaptation and fermentation efficiency."
EC:1.4.1.14,"Function: Catalyzes the synthesis of glutamate from glutamine and ?-ketoglutarate using NADH, contributing to nitrogen assimilation and amino acid biosynthesis; Role in LAB: Supports growth and metabolic activity by providing essential amino acids and maintaining nitrogen balance during fermentation; Probiotic/Food Relevance: Enhances LAB nutritional metabolism and survivability, contributing to consistent fermentation performance and functional properties in food products; Biological Pathways: Involved in glutamate, alanine, and aspartate metabolism, nitrogen metabolism, and amino acid biosynthesis pathways that regulate cellular growth and metabolic balance."
EC:1.1.1.95,"Function: Catalyzes the oxidation of 3-phosphoglycerate to 3-phosphohydroxypyruvate, initiating serine biosynthesis; Role in LAB: Supports amino acid biosynthesis and metabolic activity, promoting growth and protein production during fermentation; Probiotic/Food Relevance: Enhances LAB nutritional metabolism and fermentative efficiency, contributing to consistent food product quality; Biological Pathways: Involved in glycine, serine, and threonine metabolism, cysteine and methionine metabolism, amino acid biosynthesis, and carbon metabolism pathways that regulate cellular growth and metabolic balance."
EC:3.2.1.52,"Function: Catalyzes the hydrolysis of N-acetylhexosamines from glycoconjugates, facilitating the breakdown of complex sugars; Role in LAB: Supports carbohydrate utilization and energy metabolism, enhancing growth and fermentative activity; Probiotic/Food Relevance: Contributes to flavor development and texture modification in fermented foods while supporting LAB survival and metabolic efficiency; Biological Pathways: Involved in amino sugar and nucleotide sugar metabolism, glycan degradation, glycosphingolipid biosynthesis, and beta-lactam resistance pathways that regulate carbohydrate processing and cellular adaptation."
EC:3.1.3.16,"Function: Catalyzes the dephosphorylation of serine and threonine residues in proteins, regulating protein activity, signaling, and cellular processes; Role in LAB: Modulates key metabolic and stress response pathways, supporting growth, adaptation, and enzyme regulation during fermentation; Probiotic/Food Relevance: Enhances LAB survivability, metabolic efficiency, and functional activity, contributing to consistent fermentation performance; Biological Pathways: Involved in protein phosphorylation/dephosphorylation, MAPK signaling, calcium signaling, cell cycle regulation, autophagy, and various metabolic and stress response pathways that control cellular homeostasis and adaptation."
EC:3.1.11.6,"Function: Catalyzes the exonucleolytic cleavage of single-stranded DNA from both 5? and 3? ends, facilitating DNA repair and maintenance; Role in LAB: Supports genome stability and accurate DNA replication, promoting growth and survival during fermentation; Probiotic/Food Relevance: Maintains LAB genomic integrity, ensuring consistent metabolic activity and reliable fermentation performance; Biological Pathways: Involved in mismatch repair and DNA replication pathways that regulate genomic maintenance and cellular adaptation."
EC:2.7.8.20,"Function: Catalyzes the transfer of glycerophosphate groups to membrane oligosaccharides, contributing to teichoic acid and glycerolipid synthesis; Role in LAB: Supports cell wall integrity, membrane structure, and growth during fermentation; Probiotic/Food Relevance: Enhances LAB stability and survival in food environments, contributing to consistent fermentation and product quality; Biological Pathways: Involved in teichoic acid biosynthesis, glycerolipid metabolism, and general metabolic pathways that regulate cell wall formation and membrane function."
EC:2.7.7.63,"Function: Catalyzes the attachment of lipoic acid to specific lysine residues on target proteins, enabling their catalytic activity in key metabolic enzyme complexes; Role in LAB: Supports energy metabolism and enzymatic function during growth and fermentation; Probiotic/Food Relevance: Enhances LAB metabolic efficiency and survival, contributing to consistent fermentation and functional activity in food products; Biological Pathways: Involved in lipoic acid metabolism and protein modification pathways that regulate enzymatic activity and cellular energy production."
EC:2.4.2.52,"Function: Catalyzes the synthesis of triphosphoribosyl-dephospho-CoA, activating acyl carrier proteins for fatty acid and polyketide biosynthesis; Role in LAB: Supports lipid metabolism and cellular regulation, promoting growth and metabolic activity during fermentation; Probiotic/Food Relevance: Enhances LAB metabolic flexibility and functionality, contributing to efficient fermentation and adaptation in food environments; Biological Pathways: Involved in two-component signaling systems and acyl carrier protein activation pathways that regulate signal transduction and metabolic coordination."
EC:2.4.2.9,"Function: Catalyzes the conversion of uracil and phosphoribosyl pyrophosphate into UMP, enabling pyrimidine nucleotide synthesis; Role in LAB: Supports nucleic acid biosynthesis and cellular replication, promoting growth and metabolic activity during fermentation; Probiotic/Food Relevance: Enhances LAB proliferation and genomic maintenance, contributing to consistent fermentation performance and functional activity in food products; Biological Pathways: Involved in pyrimidine metabolism, nucleotide biosynthesis, and general metabolic pathways that regulate nucleotide homeostasis and DNA/RNA synthesis."
EC:2.7.6.5,"Function: Catalyzes the phosphorylation of GTP to produce guanosine tetraphosphate (ppGpp), a key signaling molecule in the stringent response; Role in LAB: Regulates stress response and nucleotide metabolism, supporting growth and adaptation during fermentation; Probiotic/Food Relevance: Enhances LAB survival under nutrient-limited or stress conditions, contributing to consistent fermentation and functional activity in food products; Biological Pathways: Involved in purine metabolism, stringent response signaling, and nucleotide metabolism pathways that regulate cellular adaptation and metabolic homeostasis."
EC:2.3.1.15,"Function: Catalyzes the acylation of glycerol-3-phosphate to form lysophosphatidic acid, initiating glycerolipid biosynthesis; Role in LAB: Supports membrane lipid synthesis and cell growth during fermentation; Probiotic/Food Relevance: Enhances LAB membrane integrity and metabolic activity, contributing to stable fermentation and functional properties in food products; Biological Pathways: Involved in glycerolipid and glycerophospholipid metabolism, secondary metabolite biosynthesis, and general metabolic pathways that regulate lipid production and cellular structure."
EC:2.3.1.39,"Function: Catalyzes the transfer of malonyl groups to acyl carrier proteins, enabling fatty acid chain elongation; Role in LAB: Supports fatty acid biosynthesis and membrane lipid formation, promoting growth and metabolic activity during fermentation; Probiotic/Food Relevance: Enhances LAB membrane integrity, metabolic efficiency, and fermentation consistency in food products; Biological Pathways: Involved in fatty acid biosynthesis, mycolic acid biosynthesis, secondary metabolite biosynthesis, and general metabolic pathways that regulate lipid production and cellular metabolism."
EC:2.4.2.1,"Function: Catalyzes the phosphorolytic cleavage of purine nucleosides into their bases and ribose-1-phosphate, enabling nucleotide salvage; Role in LAB: Supports purine and pyrimidine metabolism, promoting nucleic acid synthesis and efficient growth during fermentation; Probiotic/Food Relevance: Enhances LAB proliferation, metabolic activity, and genomic maintenance, contributing to consistent fermentation performance in food products; Biological Pathways: Involved in purine and pyrimidine metabolism, nicotinate and nicotinamide metabolism, cysteine and methionine metabolism, secondary metabolite biosynthesis, and general nucleotide metabolism pathways."
EC:1.11.1.15,"Function: Catalyzes the reduction of hydrogen peroxide or organic hydroperoxides, protecting cells from oxidative damage; Role in LAB: Maintains redox balance and protects against oxidative stress during growth and fermentation; Probiotic/Food Relevance: Enhances LAB survival and stability in oxygen-exposed food environments, supporting consistent fermentation and probiotic functionality; Biological Pathways: Involved in reactive oxygen species detoxification and general oxidative stress response pathways."
EC:3.6.3.3,"Function: Actively transports cadmium ions out of the cell using ATP hydrolysis, preventing metal toxicity; Role in LAB: Protects cells from heavy metal stress, supporting survival and growth during fermentation; Probiotic/Food Relevance: Enhances LAB resilience in food matrices that may contain trace heavy metals, contributing to safe and stable fermentation; Biological Pathways: Involved in metal ion transport and homeostasis pathways, maintaining cellular detoxification and stress response."
EC:3.6.3.5,"Function: Actively transports zinc ions across membranes using ATP hydrolysis, maintaining zinc homeostasis; Role in LAB: Supports essential zinc-dependent enzymatic activities and growth during fermentation; Probiotic/Food Relevance: Enhances LAB metabolic efficiency and nutritional contribution in fermented foods by maintaining metal ion balance; Biological Pathways: Involved in metal ion transport and homeostasis pathways, ensuring cellular detoxification and enzyme cofactor availability."
EC:3.6.3.28,"Function: Transports phosphonate compounds into the cell using ATP-driven ABC transporter mechanism; Role in LAB: Provides access to alternative phosphorus sources, supporting growth and metabolic flexibility during fermentation; Probiotic/Food Relevance: Enhances LAB survival and activity in phosphorus-limited food environments, contributing to stable fermentation; Biological Pathways: Involved in ABC transporters and phosphorus acquisition pathways, maintaining nutrient uptake and cellular metabolism."
EC:3.6.3.27,"Function: Imports inorganic phosphate into the cell via an ATP-driven ABC transporter system, ensuring phosphate availability; Role in LAB: Supports nucleotide, ATP, and phospholipid synthesis, promoting growth and metabolic activity during fermentation; Probiotic/Food Relevance: Enhances LAB proliferation and fermentation efficiency in phosphate-limited food matrices; Biological Pathways: Involved in ABC transporters, phosphate uptake, and general metabolic pathways essential for cellular energy and biosynthesis."
EC:4.2.1.33,"Function: Catalyzes the dehydration of 3-isopropylmalate in the leucine biosynthesis pathway; Role in LAB: Supports synthesis of branched-chain amino acids essential for protein production and growth during fermentation; Probiotic/Food Relevance: Contributes to LAB nutritional quality and flavor development in fermented foods by enabling amino acid biosynthesis; Biological Pathways: Involved in valine, leucine, and isoleucine biosynthesis, 2-oxocarboxylic acid metabolism, and other amino acid metabolic pathways."
EC:4.2.1.20,"Function: Catalyzes the final steps of tryptophan biosynthesis from indole-3-glycerol phosphate; Role in LAB: Enables production of tryptophan, supporting protein synthesis and growth during fermentation; Probiotic/Food Relevance: Enhances nutritional value and flavor profile of fermented foods by supplying essential amino acids; Biological Pathways: Involved in tryptophan, phenylalanine, and tyrosine biosynthesis, glycine, serine, and threonine metabolism, and general amino acid metabolic pathways."
EC:4.1.3.27,"Function: Catalyzes the conversion of chorismate to anthranilate, initiating tryptophan biosynthesis; Role in LAB: Supports production of tryptophan, an essential amino acid, aiding protein synthesis and growth during fermentation; Probiotic/Food Relevance: Contributes to nutritional enhancement of fermented foods and may influence microbial interactions through quorum sensing; Biological Pathways: Involved in tryptophan, phenylalanine, and tyrosine biosynthesis, phenazine biosynthesis, general amino acid metabolism, quorum sensing, and biofilm formation."
EC:4.1.1.3,"Function: Catalyzes the decarboxylation of oxaloacetate to produce pyruvate and CO?; Role in LAB: Supports energy metabolism and acid production during fermentation, contributing to microbial growth and survival; Probiotic/Food Relevance: Enhances fermentation efficiency and flavor development in foods; Biological Pathways: Involved in pyruvate metabolism and central carbon metabolism."
EC:3.6.4.13,"Function: Unwinds RNA structures during transcription, translation, and RNA processing; Role in LAB: Facilitates proper RNA metabolism and gene expression, supporting growth and adaptation; Probiotic/Food Relevance: Ensures efficient protein synthesis and stress response during fermentation; Biological Pathways: Involved in RNA degradation, RNA transport, and RNA processing pathways."
EC:3.6.3.8,"Function: Pumps calcium ions across membranes to maintain cellular Ca²? homeostasis; Role in LAB: Supports ion balance, stress tolerance, and metabolic regulation; Probiotic/Food Relevance: Helps LAB survive in varying conditions during fermentation and storage; Biological Pathways: Involved in ion transport and membrane transport pathways."
EC:5.1.1.1,"Function: Converts L-alanine to D-alanine, essential for peptidoglycan synthesis; Role in LAB: Supports cell wall formation, structural integrity, and growth; Probiotic/Food Relevance: Enhances LAB survival under stress, improving fermentation efficiency and stability in food products; Biological Pathways: Involved in lysine biosynthesis, D-amino acid metabolism, peptidoglycan biosynthesis, vancomycin resistance, and two-component system."
EC:4.2.1.35,"Function: Catalyzes the dehydration of (R)-2-methylmalate in the biosynthesis of branched-chain amino acids; Role in LAB: Supports amino acid biosynthesis, growth, and protein production; Probiotic/Food Relevance: Enhances LAB metabolic activity, contributing to fermentation efficiency and nutritional profile of food products; Biological Pathways: Involved in valine, leucine, and isoleucine biosynthesis, C5-branched dibasic acid metabolism, 2-oxocarboxylic acid metabolism, and biosynthesis of amino acids."
EC:5.4.2.12,"Function: Catalyzes the conversion of 3-phosphoglycerate to 2-phosphoglycerate in glycolysis and gluconeogenesis; Role in LAB: Supports energy production, carbon metabolism, and amino acid biosynthesis; Probiotic/Food Relevance: Enhances LAB growth and metabolic activity during fermentation, contributing to efficient sugar utilization and flavor development; Biological Pathways: Involved in glycolysis/gluconeogenesis, glycine, serine and threonine metabolism, methane metabolism, carbon metabolism, and biosynthesis of amino acids."
EC:5.3.1.6,"Function: Converts ribose-5-phosphate to ribulose-5-phosphate in the pentose phosphate pathway; Role in LAB: Supports nucleotide biosynthesis, energy metabolism, and carbon flux balance; Probiotic/Food Relevance: Enhances LAB growth, sugar utilization, and metabolic versatility during fermentation; Biological Pathways: Involved in pentose phosphate pathway, fructose and mannose metabolism, carbon fixation (Calvin cycle), carbon metabolism, and biosynthesis of amino acids."
EC:4.2.99.18,"Function: Repairs apurinic/apyrimidinic sites in DNA by cleaving the phosphodiester backbone; Role in LAB: Maintains genome integrity under stress and prevents DNA damage accumulation; Probiotic/Food Relevance: Ensures LAB stability and survival during fermentation and storage; Biological Pathways: Involved in base excision repair, DNA replication, and repair pathways."
EC:5.99.1.3,"Function: Relieves DNA supercoiling and tangling by transiently breaking and rejoining DNA strands using ATP; Role in LAB: Supports DNA replication, transcription, and genome stability; Probiotic/Food Relevance: Ensures LAB growth and survival during stress conditions in fermentation; Biological Pathways: Involved in DNA replication, transcription, and repair pathways."
EC:6.3.4.19,"Function: Modifies tRNA(Ile) by adding lysidine, ensuring accurate isoleucine incorporation during protein synthesis; Role in LAB: Supports correct translation and protein synthesis; Probiotic/Food Relevance: Maintains LAB growth and metabolic efficiency during fermentation; Biological Pathways: Involved in purine metabolism, nucleotide metabolism, and general metabolic pathways."
EC:6.1.1.20,Function: Attaches phenylalanine to its corresponding tRNA for protein synthesis; Role in LAB: Ensures accurate translation and protein production; Probiotic/Food Relevance: Supports LAB growth and metabolic activity during fermentation; Biological Pathways: Involved in aminoacyl-tRNA biosynthesis and translation.
EC:6.1.1.14,Function: Attaches glycine to its corresponding tRNA for protein synthesis; Role in LAB: Ensures accurate translation and protein production; Probiotic/Food Relevance: Supports LAB growth and metabolic activity during fermentation; Biological Pathways: Involved in aminoacyl-tRNA biosynthesis and translation.
EC:6.3.5.5,"Function: Synthesizes carbamoyl-phosphate from glutamine, a precursor for arginine and pyrimidine biosynthesis; Role in LAB: Supports amino acid and nucleotide metabolism, promoting growth and protein production; Probiotic/Food Relevance: Enhances LAB metabolic efficiency during fermentation, contributing to flavor and nutritional value of foods; Biological Pathways: Involved in arginine biosynthesis, pyrimidine metabolism, alanine, aspartate and glutamate metabolism, and general metabolic pathways."
