Pathway,description
PWY-5686,"Function: Catalyzes the biosynthesis of uridine monophosphate (UMP), a precursor for pyrimidine nucleotides like UDP, UTP, and CTP; Role in LAB: Essential for nucleotide synthesis, supporting DNA, RNA, and energy metabolism; Probiotic/Food Relevance: Enhances microbial growth and stability during fermentation, contributing to the overall quality and vitality of probiotics in fermented foods."
PWY-6317,"Function: Degrades galactose through the Leloir pathway, converting it into glucose-6-phosphate for entry into glycolysis; Role in LAB: Utilizes galactose as a carbon source for energy production and growth; Probiotic/Food Relevance: Contributes to the breakdown of lactose and other galactose-containing substrates during fermentation, affecting flavor and texture of dairy and other fermented foods."
PWY4FS-7,"Function: Synthesizes phosphatidylglycerol, an important phospholipid component of cell membranes, from glycerol-3-phosphate; Role in LAB: Essential for maintaining cell membrane structure and function, supporting bacterial growth and stability; Probiotic/Food Relevance: Contributes to bacterial resilience during fermentation, enhancing probiotic survival and fermentation performance."
PWY-7199,"Function: Salvages pyrimidine deoxyribonucleosides (such as thymidine and deoxycytidine) to regenerate nucleotides for DNA synthesis; Role in LAB: Enhances nucleotide recycling, supporting efficient growth and DNA replication; Probiotic/Food Relevance: Contributes to metabolic efficiency during fermentation, promoting bacterial persistence and stability in fermented food products."
PWY-7111,"Function: Converts pyruvate to isobutanol through engineered fermentation pathways, generating ATP and reducing equivalents; Role in LAB: Provides an alternative metabolic route for energy production and carbon utilization, supporting growth in engineered strains; Probiotic/Food Relevance: Can be used in bioengineering for the production of isobutanol, which may have applications in biofuels or flavor compound production during fermentation."
PWY0-1261,"Function: Recovers and recycles anhydromuropeptides, components of peptidoglycan degradation products, for reuse in cell wall biosynthesis; Role in LAB: Supports the recycling of cell wall material, conserving resources and promoting cell wall integrity; Probiotic/Food Relevance: Enhances bacterial viability and sustainability during fermentation, contributing to the stability and quality of fermented products."
PWY-6122,"Function: Catalyzes the formation of 5-aminoimidazole ribonucleotide, an intermediate in the purine biosynthesis pathway, essential for nucleotide and nucleic acid production; Role in LAB: Supports nucleotide biosynthesis required for DNA, RNA, and energy metabolism, aiding in growth and replication; Probiotic/Food Relevance: Contributes to optimal bacterial proliferation and metabolic activity during fermentation, enhancing culture performance and product consistency."
PWY-5973,"Function: Involved in the synthesis of cis-vaccenate, a monounsaturated fatty acid that contributes to membrane lipid composition; Role in LAB: Maintains membrane fluidity and integrity, aiding in stress tolerance and adaptation to varying environmental conditions; Probiotic/Food Relevance: Enhances bacterial resilience and survival during fermentation and storage, improving the stability and quality of fermented products."
PWY-621,"Function: Catalyzes the hydrolysis of sucrose into glucose and fructose, providing readily utilizable carbon sources for cellular metabolism; Role in LAB: Supports efficient carbohydrate utilization and energy production, promoting growth under sucrose-rich conditions; Probiotic/Food Relevance: Enhances fermentation efficiency and flavor development in sucrose-containing foods, contributing to improved texture and product quality."
PWY-5897,"Function: Involved in the biosynthesis of menaquinol-11 (vitamin K2 variant), a key electron carrier in the respiratory chain that supports cellular energy metabolism; Role in LAB: Enhances electron transport and redox balance, supporting efficient energy generation under varying oxygen conditions; Probiotic/Food Relevance: Contributes to the production of vitamin K2 with potential health benefits and supports robust bacterial activity during fermentation, improving nutritional value and product quality."
PWY-5899,"Function: Participates in the biosynthesis of menaquinol-13, a form of vitamin K2 that functions as an essential electron carrier in cellular respiration; Role in LAB: Supports redox balance and energy metabolism, enhancing adaptability and growth under fluctuating environmental conditions; Probiotic/Food Relevance: Promotes vitamin K2 enrichment in fermented foods and improves bacterial viability and performance, contributing to the nutritional and functional quality of the final product."
PWY-5898,"Function: Responsible for the biosynthesis of menaquinol-12, a vitamin K2 derivative that plays a vital role in electron transport and cellular respiration; Role in LAB: Enhances energy metabolism and redox stability, supporting cell growth and survival under both aerobic and anaerobic conditions; Probiotic/Food Relevance: Contributes to vitamin K2 accumulation in fermented foods and strengthens bacterial vitality, improving the health benefits and consistency of the final product."
NONOXIPENT-PWY,"Function: Facilitates the interconversion of sugars in the non-oxidative branch of the pentose phosphate pathway, generating precursors for nucleotide and amino acid biosynthesis; Role in LAB: Supports anabolic processes by providing ribose-5-phosphate and other sugar phosphates essential for growth and metabolism; Probiotic/Food Relevance: Enhances metabolic flexibility and biosynthetic capacity during fermentation, improving bacterial performance and the nutritional quality of fermented products."
FASYN-ELONG-PWY,"Function: Catalyzes the elongation of saturated fatty acids, extending the carbon chain length to produce long-chain fatty acids; Role in LAB: Maintains membrane lipid composition and fluidity, essential for cell membrane integrity and function; Probiotic/Food Relevance: Supports bacterial adaptation to environmental stresses during fermentation, contributing to product stability and texture."
GLUTORN-PWY,"Function: Synthesizes L-ornithine, a key intermediate in the urea cycle and precursor for polyamine production; Role in LAB: Supports cellular growth and stress response by contributing to amino acid and polyamine metabolism; Probiotic/Food Relevance: Enhances bacterial robustness and fermentation performance, potentially improving the flavor and nutritional profile of fermented foods."
GLYCOGENSYNTH-PWY,"Function: Catalyzes the synthesis of glycogen from ADP-D-glucose, enabling energy storage in the form of polysaccharides; Role in LAB: Provides an energy reserve that supports survival during nutrient limitation and environmental stress; Probiotic/Food Relevance: Enhances bacterial endurance and stability during fermentation and storage, contributing to consistent product quality."
POLYISOPRENSYN-PWY,"Function: Involved in the biosynthesis of polyisoprenoids, essential lipid carriers for the assembly of peptidoglycan and other cell wall components; Role in LAB: Supports cell wall synthesis and maintenance, promoting structural integrity and proper cell function; Probiotic/Food Relevance: Enhances bacterial viability and robustness during fermentation, contributing to the quality and stability of fermented products."
P161-PWY,"Function: Catalyzes the breakdown of acetylene, allowing the utilization of this compound as a carbon and energy source; Role in LAB: Enables adaptation to environments containing acetylene by providing an alternative metabolic pathway; Probiotic/Food Relevance: May support bacterial survival and metabolic versatility during fermentation processes, potentially influencing flavor and product characteristics."
PWY-6277,"Function: Catalyzes the multi-step synthesis of 5-aminoimidazole ribonucleotide, a key intermediate in purine nucleotide biosynthesis; Role in LAB: Supports nucleotide production necessary for DNA, RNA synthesis, and energy metabolism, facilitating growth and replication; Probiotic/Food Relevance: Enhances bacterial proliferation and metabolic activity during fermentation, contributing to culture robustness and product quality."
PWY-7400,
PWY-6470,
PWY-7663,
SER-GLYSYN-PWY,
PWY-7208,
PWY-7220,
PWY-6700,
PWY-7222,
LACTOSECAT-PWY,
PWY-7221,
GALACT-GLUCUROCAT-PWY,
PWY-2942,
PWY-6385,
GLUCUROCAT-PWY,
COMPLETE-ARO-PWY,
PWY-3001,
PWY-5104,
TRPSYN-PWY,
CALVIN-PWY,
HISTSYN-PWY,
PWY-6507,
RHAMCAT-PWY,
PWY-6151,
BRANCHED-CHAIN-AA-SYN-PWY,
PWY-5103,
ILEUSYN-PWY,
PWY-5863,
