ko_id,ko_abundance,ko_function,ec_id,ec_class,ec_function,map_ids,pathway_names,brite_subclass,brite_class,ec_abundance,mapped
K00805,3,heptaprenyl diphosphate synthase component 1,2.5.1.30,Transferases,heptaprenyl diphosphate synthase,map00900; map01110,Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites,Metabolism of terpenoids and polyketides,Metabolism,3.0,Yes
K00059,3,3-oxoacyl-[acyl-carrier protein] reductase,1.1.1.100,Oxidoreductases,3-oxoacyl-[acyl-carrier-protein] reductase,map00061; map00333; map00780; map01100; map01110; map01212; map01240,Fatty acid biosynthesis; Prodigiosin biosynthesis; Biotin metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Fatty acid metabolism; Biosynthesis of cofactors,Biosynthesis of other secondary metabolites; Lipid metabolism; Metabolism of cofactors and vitamins,Metabolism,3.0,Yes
K01952,3,phosphoribosylformylglycinamidine synthase,6.3.5.3,Ligases,phosphoribosylformylglycinamidine synthase,map00230; map01100; map01110,Purine metabolism; Metabolic pathways; Biosynthesis of secondary metabolites,Nucleotide metabolism,Metabolism,3.0,Yes
K02913,3,large subunit ribosomal protein L33,nan,,,map03010,Ribosome,Translation,Genetic Information Processing,,No
K03284,3,magnesium transporter,nan,,,,,,,,No
K07497,3,putative transposase,nan,,,,,,,,No
K07025,3,putative hydrolase of the HAD superfamily,nan,,,,,,,,No
K07483,3,transposase,nan,,,,,,,,No
K07052,3,CAAX protease family protein,nan,,,,,,,,No
K06180,3,23S rRNA pseudouridine1911/1915/1917 synthase,5.4.99.23,Isomerases,23S rRNA pseudouridine(1911/1915/1917) synthase,,,,,3.0,Yes
K00661,3,maltose O-acetyltransferase,2.3.1.79,Transferases,maltose O-acetyltransferase,,,,,3.0,Yes
K02028,3,polar amino acid transport system ATP-binding protein,7.4.2.1,Translocases,ABC-type polar-amino-acid transporter,,,,,,No
K15580,3,oligopeptide transport system substrate-binding protein,nan,,,map01501; map02010; map02024,beta-Lactam resistance; ABC transporters; Quorum sensing,Cellular community - prokaryotes; Drug resistance: antimicrobial; Membrane transport,Cellular Processes; Environmental Information Processing; Human Diseases,,No
K15634,3,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",5.4.2.11,Isomerases,"phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)",map00010; map00260; map00680; map01100; map01110; map01120; map01200; map01230,"Glycolysis / Gluconeogenesis; Glycine, serine and threonine metabolism; Methane metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Biosynthesis of amino acids",Amino acid metabolism; Carbohydrate metabolism; Energy metabolism,Metabolism,2.0,Yes
K01534,2,Zn2+/Cd2+-exporting ATPase,"7.2.2.12, 7.2.2.21",Translocases,,,,,,,No
K01187,2,alpha-glucosidase,3.2.1.20,Hydrolases,alpha-glucosidase,map00052; map00500; map01100; map01110,Galactose metabolism; Starch and sucrose metabolism; Metabolic pathways; Biosynthesis of secondary metabolites,Carbohydrate metabolism,Metabolism,2.0,Yes
K01215,2,"glucan 1,6-alpha-glucosidase",3.2.1.70,Hydrolases,"glucan 1,6-alpha-glucosidase",,,,,2.0,Yes
K01126,2,glycerophosphoryl diester phosphodiesterase,3.1.4.46,Hydrolases,glycerophosphodiester phosphodiesterase,map00564,Glycerophospholipid metabolism,Lipid metabolism,Metabolism,2.0,Yes
K01118,2,FMN-dependent NADH-azoreductase,1.7.1.17,Oxidoreductases,FMN-dependent NADH-azoreductase,,,,,,No
K00975,2,glucose-1-phosphate adenylyltransferase,2.7.7.27,Transferases,glucose-1-phosphate adenylyltransferase,map00500; map00520; map01100; map01110; map01250; map02026,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of nucleotide sugars; Biofilm formation - Escherichia coli,Carbohydrate metabolism; Cellular community - prokaryotes; Glycan biosynthesis and metabolism,Cellular Processes; Metabolism,2.0,Yes
K00969,2,nicotinate-nucleotide adenylyltransferase,2.7.7.18,Transferases,nicotinate-nucleotide adenylyltransferase,map00760; map01100; map01240,Nicotinate and nicotinamide metabolism; Metabolic pathways; Biosynthesis of cofactors,Metabolism of cofactors and vitamins,Metabolism,2.0,Yes
K00948,2,ribose-phosphate pyrophosphokinase,2.7.6.1,Transferases,ribose-phosphate diphosphokinase,map00030; map00230; map01100; map01110; map01120; map01200; map01230,Pentose phosphate pathway; Purine metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Biosynthesis of amino acids,Carbohydrate metabolism; Nucleotide metabolism,Metabolism,2.0,Yes
K00936,2,"two-component system, sensor histidine kinase PdtaS",2.7.13.3,Transferases,histidine kinase,,,,,5.0,Yes
K00925,2,acetate kinase,2.7.2.1,Transferases,acetate kinase,map00430; map00620; map00640; map00680; map00720; map01100; map01120; map01200,Taurine and hypotaurine metabolism; Pyruvate metabolism; Propanoate metabolism; Methane metabolism; Other carbon fixation pathways; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism,Carbohydrate metabolism; Energy metabolism; Metabolism of other amino acids,Metabolism,2.0,Yes
K00790,2,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,2.5.1.7,Transferases,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,map00520; map00550; map01100; map01250,Amino sugar and nucleotide sugar metabolism; Peptidoglycan biosynthesis; Metabolic pathways; Biosynthesis of nucleotide sugars,Glycan biosynthesis and metabolism,Metabolism,2.0,Yes
K00680,2,S-alkylcysteine N-acetyltransferase,2.3.1.-,Transferases,,,,,,,No
K01104,2,protein-tyrosine phosphatase,3.1.3.48,Hydrolases,protein-tyrosine-phosphatase,,,,,2.0,Yes
K01442,2,choloylglycine hydrolase,3.5.1.24,Hydrolases,choloylglycine hydrolase,map00120; map00121; map01100,Primary bile acid biosynthesis; Secondary bile acid biosynthesis; Metabolic pathways,Lipid metabolism,Metabolism,2.0,Yes
K00760,2,hypoxanthine phosphoribosyltransferase,2.4.2.8,Transferases,hypoxanthine phosphoribosyltransferase,map00230; map00983; map01100; map01110; map01232,Purine metabolism; Drug metabolism - other enzymes; Metabolic pathways; Biosynthesis of secondary metabolites; Nucleotide metabolism,Nucleotide metabolism; Xenobiotics biodegradation and metabolism,Metabolism,2.0,Yes
K00033,2,6-phosphogluconate dehydrogenase,"1.1.1.44, 1.1.1.343",Oxidoreductases,,map00030; map00480; map01100; map01110; map01120; map01200,Pentose phosphate pathway; Glutathione metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism,Carbohydrate metabolism; Metabolism of other amino acids,Metabolism,,No
K00134,2,glyceraldehyde 3-phosphate dehydrogenase (phosphorylating),1.2.1.12,Oxidoreductases,glyceraldehyde-3-phosphate dehydrogenase (phosphorylating),map00010; map00710; map01100; map01110; map01120; map01200; map01230; map04066; map05010; map05130; map05132; map05415,Glycolysis / Gluconeogenesis; Carbon fixation by Calvin cycle; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Biosynthesis of amino acids; HIF-1 signaling pathway; Alzheimer disease; Pathogenic Escherichia coli infection; Salmonella infection; Diabetic cardiomyopathy,Carbohydrate metabolism; Cardiovascular disease; Energy metabolism; Infectious disease: bacterial; Neurodegenerative disease; Signal transduction,Environmental Information Processing; Human Diseases; Metabolism,2.0,Yes
K00611,2,ornithine carbamoyltransferase,2.1.3.3,Transferases,ornithine carbamoyltransferase,map00220; map01100; map01110; map01230,Arginine biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids,Amino acid metabolism,Metabolism,2.0,Yes
K00626,2,acetyl-CoA C-acetyltransferase,2.3.1.9,Transferases,acetyl-CoA C-acetyltransferase,map00071; map00280; map00310; map00362; map00380; map00620; map00630; map00650; map00720; map00900; map01100; map01110; map01120; map01200; map01212; map02020; map04975,"Fatty acid degradation; Valine, leucine and isoleucine degradation; Lysine degradation; Benzoate degradation; Tryptophan metabolism; Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Butanoate metabolism; Other carbon fixation pathways; Terpenoid backbone biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Fatty acid metabolism; Two-component system; Fat digestion and absorption",Amino acid metabolism; Carbohydrate metabolism; Digestive system; Energy metabolism; Lipid metabolism; Metabolism of terpenoids and polyketides; Signal transduction; Xenobiotics biodegradation and metabolism,Environmental Information Processing; Metabolism; Organismal Systems,2.0,Yes
K00563,2,23S rRNA (guanine745-N1)-methyltransferase,2.1.1.187,Transferases,23S rRNA (guanine(745)-N(1))-methyltransferase,,,,,2.0,Yes
K00384,2,thioredoxin reductase (NADPH),1.8.1.9,Oxidoreductases,thioredoxin-disulfide reductase (NADPH),map00450,Selenocompound metabolism,Metabolism of other amino acids,Metabolism,2.0,Yes
K02029,2,polar amino acid transport system permease protein,nan,,,,,,,,No
K02015,2,iron complex transport system permease protein,nan,,,,,,,,No
K02013,2,iron complex transport system ATP-binding protein,7.2.2.-,Translocases,,,,,,,No
K01784,2,UDP-glucose 4-epimerase,5.1.3.2,Isomerases,UDP-glucose 4-epimerase,map00052; map00520; map01100; map01250,Galactose metabolism; Amino sugar and nucleotide sugar metabolism; Metabolic pathways; Biosynthesis of nucleotide sugars,Carbohydrate metabolism; Glycan biosynthesis and metabolism,Metabolism,2.0,Yes
K01791,2,UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing),5.1.3.14,Isomerases,UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing),map00520; map00541; map01100; map01250; map02020; map05111,Amino sugar and nucleotide sugar metabolism; Biosynthesis of various nucleotide sugars; Metabolic pathways; Biosynthesis of nucleotide sugars; Two-component system; Biofilm formation - Vibrio cholerae,Cellular community - prokaryotes; Glycan biosynthesis and metabolism; Signal transduction,Cellular Processes; Environmental Information Processing; Metabolism,2.0,Yes
K01834,2,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",5.4.2.11,Isomerases,"phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)",map00010; map00260; map00680; map01100; map01110; map01120; map01200; map01230; map04922; map05230,"Glycolysis / Gluconeogenesis; Glycine, serine and threonine metabolism; Methane metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Biosynthesis of amino acids; Glucagon signaling pathway; Central carbon metabolism in cancer",Amino acid metabolism; Cancer: overview; Carbohydrate metabolism; Endocrine system; Energy metabolism,Human Diseases; Metabolism; Organismal Systems,2.0,Yes
K01928,2,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",6.3.2.13,Ligases,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",map00300; map00550; map01100,Lysine biosynthesis; Peptidoglycan biosynthesis; Metabolic pathways,Amino acid metabolism; Glycan biosynthesis and metabolism,Metabolism,2.0,Yes
K01953,2,asparagine synthase (glutamine-hydrolysing),6.3.5.4,Ligases,asparagine synthase (glutamine-hydrolyzing),map00250; map01100; map01110; map01230,"Alanine, aspartate and glutamate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids",Amino acid metabolism,Metabolism,2.0,Yes
K01752,2,L-serine dehydratase,4.3.1.17,Lyases,L-serine ammonia-lyase,map00260; map00270; map01100; map01110; map01200; map01230,"Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Carbon metabolism; Biosynthesis of amino acids",Amino acid metabolism,Metabolism,2.0,Yes
K01785,2,aldose 1-epimerase,5.1.3.3,Isomerases,aldose 1-epimerase,map00010; map00052; map01100; map01110; map01120,Glycolysis / Gluconeogenesis; Galactose metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments,Carbohydrate metabolism,Metabolism,2.0,Yes
K01575,2,acetolactate decarboxylase,4.1.1.5,Lyases,acetolactate decarboxylase,map00650; map00660; map01110; map01210,Butanoate metabolism; C5-Branched dibasic acid metabolism; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism,Carbohydrate metabolism,Metabolism,2.0,Yes
K01607,2,4-carboxymuconolactone decarboxylase,4.1.1.44,Lyases,4-carboxymuconolactone decarboxylase,map00362; map01100; map01120; map01220,Benzoate degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds,Xenobiotics biodegradation and metabolism,Metabolism,2.0,Yes
K01626,2,3-deoxy-7-phosphoheptulonate synthase,2.5.1.54,Transferases,3-deoxy-7-phosphoheptulonate synthase,map00400; map01100; map01110; map01230; map02024,"Phenylalanine, tyrosine and tryptophan biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids; Quorum sensing",Amino acid metabolism; Cellular community - prokaryotes,Cellular Processes; Metabolism,2.0,Yes
K01652,2,acetolactate synthase I/II/III large subunit,2.2.1.6,Transferases,acetolactate synthase,map00290; map00650; map00660; map00770; map01100; map01110; map01210; map01230,"Valine, leucine and isoleucine biosynthesis; Butanoate metabolism; C5-Branched dibasic acid metabolism; Pantothenate and CoA biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids",Amino acid metabolism; Carbohydrate metabolism; Metabolism of cofactors and vitamins,Metabolism,3.0,Yes
K01689,2,enolase 1/2/3,4.2.1.11,Lyases,phosphopyruvate hydratase,map00010; map00680; map01100; map01110; map01120; map01200; map01230; map03018; map04066; map04820,Glycolysis / Gluconeogenesis; Methane metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Biosynthesis of amino acids; RNA degradation; HIF-1 signaling pathway; Cytoskeleton in muscle cells,"Carbohydrate metabolism; Cell motility; Energy metabolism; Folding, sorting and degradation; Signal transduction",Cellular Processes; Environmental Information Processing; Genetic Information Processing; Metabolism,2.0,Yes
K01738,2,cysteine synthase,2.5.1.47,Transferases,cysteine synthase,map00270; map00920; map01100; map01110; map01120; map01200; map01230; map01320,Cysteine and methionine metabolism; Sulfur metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Biosynthesis of amino acids; Sulfur cycle,Amino acid metabolism; Energy metabolism,Metabolism,2.0,Yes
K01421,2,putative membrane protein,nan,,,,,,,,No
K01420,2,"CRP/FNR family transcriptional regulator, anaerobic regulatory protein",nan,,,,,,,,No
K03293,2,"amino acid transporter, AAT family",nan,,,,,,,,No
K03316,2,Na+:H+ antiporter,nan,,,,,,,,No
K03523,2,biotin transport system substrate-specific component,nan,,,map02010,ABC transporters,Membrane transport,Environmental Information Processing,,No
K03524,2,"BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase",6.3.4.15,Ligases,biotin--[biotin carboxyl-carrier protein] ligase,map00780; map01100,Biotin metabolism; Metabolic pathways,Metabolism of cofactors and vitamins,Metabolism,2.0,Yes
K03402,2,transcriptional regulator of arginine metabolism,nan,,,,,,,,No
K03322,2,manganese transport protein,nan,,,,,,,,No
K02372,2,3-hydroxyacyl-[acyl-carrier-protein] dehydratase,4.2.1.59,Lyases,3-hydroxyacyl-[acyl-carrier-protein] dehydratase,map00061; map00780; map01100; map01212; map01240,Fatty acid biosynthesis; Biotin metabolism; Metabolic pathways; Fatty acid metabolism; Biosynthesis of cofactors,Lipid metabolism; Metabolism of cofactors and vitamins,Metabolism,2.0,Yes
K02057,2,simple sugar transport system permease protein,nan,,,,,,,,No
K02040,2,phosphate transport system substrate-binding protein,nan,,,map02010; map02020; map05152,ABC transporters; Two-component system; Tuberculosis,Infectious disease: bacterial; Membrane transport; Signal transduction,Environmental Information Processing; Human Diseases,,No
K02042,2,phosphonate transport system permease protein,nan,,,map02010,ABC transporters,Membrane transport,Environmental Information Processing,,No
K02757,2,beta-glucoside PTS system EIICBA component,2.7.1.-,Transferases,,map02060,Phosphotransferase system (PTS),Membrane transport,Environmental Information Processing,,No
K03111,2,single-strand DNA-binding protein,nan,,,map03030; map03430; map03440,DNA replication; Mismatch repair; Homologous recombination,Replication and repair,Genetic Information Processing,,No
K03217,2,YidC/Oxa1 family membrane protein insertase,nan,,,map02024; map03060; map03070,Quorum sensing; Protein export; Bacterial secretion system,"Cellular community - prokaryotes; Folding, sorting and degradation; Membrane transport",Cellular Processes; Environmental Information Processing; Genetic Information Processing,,No
K02036,2,phosphate transport system ATP-binding protein,7.3.2.1,Translocases,ABC-type phosphate transporter,map02010,ABC transporters,Membrane transport,Environmental Information Processing,,No
K03790,2,[ribosomal protein S5]-alanine N-acetyltransferase,2.3.1.267,Transferases,[ribosomal protein uS5]-alanine N-acetyltransferase,,,,,,No
K03789,2,[ribosomal protein S18]-alanine N-acetyltransferase,2.3.1.266,Transferases,[ribosomal protein bS18]-alanine N-acetyltransferase,,,,,,No
K03768,2,peptidyl-prolyl cis-trans isomerase B (cyclophilin B),5.2.1.8,Isomerases,peptidylprolyl isomerase,,,,,4.0,Yes
K03758,2,arginine:ornithine antiporter / lysine permease,nan,,,,,,,,No
K03734,2,FAD:protein FMN transferase,2.7.1.180,Transferases,FAD:protein FMN transferase,,,,,,No
K03574,2,8-oxo-dGTP diphosphatase,3.6.1.55,Hydrolases,8-oxo-dGTP diphosphatase,,,,,2.0,Yes
K03553,2,recombination protein RecA,nan,,,map03440,Homologous recombination,Replication and repair,Genetic Information Processing,,No
K03549,2,KUP system potassium uptake protein,nan,,,,,,,,No
K03502,2,DNA polymerase V,nan,,,,,,,,No
K03530,2,DNA-binding protein HU-beta,nan,,,,,,,,No
K04487,2,cysteine desulfurase,2.8.1.7,Transferases,cysteine desulfurase,map00730; map01100; map01240; map04122,Thiamine metabolism; Metabolic pathways; Biosynthesis of cofactors; Sulfur relay system,"Folding, sorting and degradation; Metabolism of cofactors and vitamins",Genetic Information Processing; Metabolism,3.0,Yes
K06131,2,cardiolipin synthase A/B,2.7.8.-,Transferases,,map00564; map01100,Glycerophospholipid metabolism; Metabolic pathways,Lipid metabolism,Metabolism,,No
K06950,2,uncharacterized protein,nan,,,,,,,,No
K06889,2,uncharacterized protein,nan,,,,,,,,No
K03811,2,nicotinamide mononucleotide transporter,nan,,,,,,,,No
K03885,2,NADH:quinone reductase (non-electrogenic),1.6.5.9,Oxidoreductases,NADH:ubiquinone reductase (non-electrogenic),map00190; map01100,Oxidative phosphorylation; Metabolic pathways,Energy metabolism,Metabolism,,No
K07304,2,peptide-methionine (S)-S-oxide reductase,1.8.4.11,Oxidoreductases,peptide-methionine (S)-S-oxide reductase,,,,,2.0,Yes
K07284,2,sortase A,3.4.22.70,Hydrolases,sortase A,,,,,2.0,Yes
K07098,2,uncharacterized protein,nan,,,,,,,,No
K07030,2,fatty acid kinase,2.7.2.18,Transferases,fatty acid kinase,,,,,,No
K08987,2,putative membrane protein,nan,,,,,,,,No
K07816,2,GTP pyrophosphokinase,2.7.6.5,Transferases,GTP diphosphokinase,map00230; map01100,Purine metabolism; Metabolic pathways,Nucleotide metabolism,Metabolism,3.0,Yes
K08152,2,"MFS transporter, DHA1 family, multidrug resistance protein B",nan,,,,,,,,No
K08659,2,dipeptidase,3.4.-.-,Hydrolases,,,,,,,No
K11733,2,lysine-specific permease,nan,,,,,,,,No
K09963,2,uncharacterized protein,nan,,,,,,,,No
K09799,2,uncharacterized protein,nan,,,,,,,,No
K12573,2,ribonuclease R,3.1.13.1,Hydrolases,exoribonuclease II,map03018,RNA degradation,"Folding, sorting and degradation",Genetic Information Processing,,No
K12952,2,cation-transporting P-type ATPase E,7.2.2.-,Translocases,,,,,,,No
K12574,2,ribonuclease J,3.1.-.-,Hydrolases,,map03018,RNA degradation,"Folding, sorting and degradation",Genetic Information Processing,,No
K16785,2,energy-coupling factor transport system permease protein,nan,,,map02010,ABC transporters,Membrane transport,Environmental Information Processing,,No
K16787,2,energy-coupling factor transport system ATP-binding protein,7.-.-.-,Translocases,,map02010,ABC transporters,Membrane transport,Environmental Information Processing,,No
