Pathway,description
PWY-841,"Function: Catalyzes the multi-step enzymatic conversion of simple precursors into purine nucleotides (AMP and GMP), essential for nucleic acid synthesis and energy metabolism; Role in LAB: Supplies critical purine nucleotides for DNA/RNA synthesis and cellular energy, supporting rapid growth and replication; Probiotic/Food Relevance: Enhances bacterial proliferation and metabolic activity during fermentation, contributing to stable probiotic populations and consistent product quality."
P122-PWY,"Function: Catalyzes the conversion of sugars into lactic acid, ethanol, and carbon dioxide via the heterolactic fermentation pathway; Role in LAB: Enables energy production through mixed acid fermentation, balancing redox reactions and generating multiple metabolites; Probiotic/Food Relevance: Produces diverse fermentation end-products that influence flavor, texture, and preservation of fermented foods, enhancing product quality and safety."
PWY-5840,"Function: Catalyzes the biosynthesis of menaquinol-7 (vitamin K2), a key electron carrier in bacterial respiratory chains; Role in LAB: Supports efficient electron transport and energy generation under anaerobic or microaerophilic conditions; Probiotic/Food Relevance: Enhances bacterial energy metabolism and survival during fermentation, contributing to robust probiotic activity and improved product stability."
ARGSYN-PWY,"Function: Catalyzes the multi-step synthesis of L-arginine from L-ornithine through enzymatic reactions involving acetylated intermediates; Role in LAB: Provides L-arginine for protein synthesis, nitrogen metabolism, and cellular signaling, supporting growth and stress response; Probiotic/Food Relevance: Enhances bacterial viability and metabolic versatility during fermentation, contributing to improved fermentation performance and product consistency."
PWY0-162,"Function: Catalyzes the multi-step synthesis of pyrimidine ribonucleotides from basic precursors, producing UMP and other essential nucleotides; Role in LAB: Supplies necessary pyrimidine nucleotides for RNA synthesis and cellular metabolism, supporting growth and replication; Probiotic/Food Relevance: Promotes active bacterial proliferation and metabolic function during fermentation, ensuring consistent probiotic activity and product quality."
PWY-7184,"Function: Catalyzes the de novo synthesis of pyrimidine deoxyribonucleotides from ribonucleotide precursors, essential for DNA replication and repair; Role in LAB: Ensures adequate supply of dNTPs for genomic maintenance and cell division, supporting genetic stability; Probiotic/Food Relevance: Enhances bacterial survival and replication fidelity during fermentation, contributing to reliable strain performance and product consistency."
PWY-7229,"Function: Catalyzes the comprehensive synthesis of adenosine nucleotides from basic metabolites through a series of enzymatic reactions; Role in LAB: Provides essential AMP and related nucleotides for nucleic acid synthesis, energy metabolism, and cellular signaling; Probiotic/Food Relevance: Supports robust bacterial growth and metabolic activity during fermentation, ensuring stable probiotic populations and consistent product quality."
PWY-6386,"Function: Catalyzes the synthesis of UDP-N-acetylmuramoyl-pentapeptide containing lysine, a critical precursor in peptidoglycan cell wall biosynthesis; Role in LAB: Supports strong cell wall formation and structural integrity, enhancing resistance to environmental stresses; Probiotic/Food Relevance: Improves bacterial durability and survival during fermentation, contributing to consistent texture, safety, and probiotic effectiveness in food products."
PWY-6125,"Function: Catalyzes the stepwise synthesis of guanosine nucleotides from precursor molecules through enzymatic reactions leading to GMP production; Role in LAB: Provides guanine nucleotides necessary for RNA synthesis, energy metabolism, and cell growth; Probiotic/Food Relevance: Enhances metabolic capacity and proliferation during fermentation, supporting stable probiotic populations and consistent product quality."
ARO-PWY,"Function: Catalyzes the multi-step conversion of shikimate pathway intermediates to chorismate, a precursor for aromatic amino acids and other metabolites; Role in LAB: Provides essential precursors for synthesis of phenylalanine, tyrosine, and tryptophan, supporting protein synthesis and metabolic functions; Probiotic/Food Relevance: Enhances amino acid availability and metabolic versatility during fermentation, contributing to improved bacterial growth and product quality."
PWY-6126,"Function: Catalyzes the multi-step synthesis of adenosine nucleotides from simple precursors through enzymatic reactions leading to AMP production; Role in LAB: Supplies adenine nucleotides essential for nucleic acid synthesis, energy metabolism, and cell signaling; Probiotic/Food Relevance: Supports active bacterial growth and metabolism during fermentation, ensuring stable probiotic viability and consistent product quality."
P124-PWY,"Function: Catalyzes the conversion of hexose sugars into acetate and lactate via the unique bifid shunt pathway, generating ATP efficiently; Role in LAB: Provides an alternative energy metabolism route enhancing carbohydrate utilization and growth; Probiotic/Food Relevance: Improves fermentation efficiency, acid production, and probiotic activity, contributing to desirable flavor profiles and product stability."
PWY-5837,"Function: Catalyzes the biosynthesis of 1,4-dihydroxy-2-naphthoate, a key intermediate in menaquinone (vitamin K2) production; Role in LAB: Supports electron transport and energy metabolism through menaquinone biosynthesis; Probiotic/Food Relevance: Enhances bacterial respiratory efficiency and survival during fermentation, contributing to robust probiotic function and product consistency."
PWY-6163,"Function: Catalyzes the conversion of 3-dehydroquinate to chorismate, a precursor for aromatic amino acid biosynthesis; Role in LAB: Provides essential metabolites for synthesis of phenylalanine, tyrosine, and tryptophan, supporting protein production and cellular functions; Probiotic/Food Relevance: Enhances amino acid availability and metabolic flexibility during fermentation, improving bacterial growth and product quality."
PWY-5686,"Function: Catalyzes the synthesis of uridine monophosphate (UMP) from orotate, a key pyrimidine nucleotide precursor; Role in LAB: Provides essential pyrimidine nucleotides for RNA synthesis and cellular metabolism; Probiotic/Food Relevance: Supports nucleotide availability for active growth and replication during fermentation, ensuring consistent probiotic activity and product quality."
PWY4FS-8,"Function: Catalyzes the synthesis of phosphatidylglycerol, a crucial phospholipid component of bacterial membranes; Role in LAB: Supports membrane structure, fluidity, and function, contributing to cell integrity and stress resistance; Probiotic/Food Relevance: Enhances bacterial viability and stability during fermentation, improving probiotic survival and product consistency."
PWY-7234,"Function: Catalyzes the formation of inosine-5'-phosphate (IMP), a central precursor for purine nucleotide biosynthesis; Role in LAB: Provides IMP for synthesis of AMP and GMP, supporting nucleic acid production and energy metabolism; Probiotic/Food Relevance: Enhances nucleotide availability and metabolic activity during fermentation, contributing to robust bacterial growth and consistent product quality."
PWY4FS-7,"Function: Catalyzes the biosynthesis of phosphatidylglycerol in plastid-like membranes, a key phospholipid for membrane structure; Role in LAB: Supports membrane integrity and function, enhancing cellular stability and stress tolerance; Probiotic/Food Relevance: Improves bacterial survival and membrane robustness during fermentation, contributing to consistent probiotic activity and product quality."
PWY-6317,"Function: Catalyzes the conversion of galactose to glucose-1-phosphate via the Leloir pathway, enabling galactose utilization; Role in LAB: Provides metabolic flexibility by allowing galactose as a carbon source for energy production and growth; Probiotic/Food Relevance: Enhances carbohydrate metabolism during fermentation, improving bacterial persistence and contributing to consistent product quality."
GLUTORN-PWY,"Function: Catalyzes the biosynthesis of L-ornithine from glutamate through a series of enzymatic reactions; Role in LAB: Provides L-ornithine as a precursor for polyamine synthesis and arginine metabolism, supporting cell growth and stress response; Probiotic/Food Relevance: Enhances bacterial viability and metabolic adaptability during fermentation, contributing to improved fermentation performance and product consistency."
PWY-621,"Function: Catalyzes the hydrolysis of sucrose into glucose and fructose via sucrose invertase enzyme activity; Role in LAB: Enables utilization of sucrose as a carbon source for energy production and growth; Probiotic/Food Relevance: Supports efficient carbohydrate fermentation, enhancing bacterial proliferation and contributing to consistent flavor and texture in fermented products."
PWY-6277,"Function: Catalyzes the multi-step synthesis of 5-aminoimidazole ribonucleotide (AIR), a key intermediate in purine nucleotide biosynthesis; Role in LAB: Supports the production of purine nucleotides necessary for nucleic acid synthesis and cellular energy; Probiotic/Food Relevance: Enhances nucleotide availability and metabolic activity during fermentation, promoting robust bacterial growth and stable product quality."
PWY-6897,"Function: Catalyzes the recycling of thiamin (vitamin B1) from degraded precursors to maintain cellular thiamin levels; Role in LAB: Supports coenzyme availability for essential metabolic enzymes, enhancing metabolic efficiency and stress resilience; Probiotic/Food Relevance: Improves bacterial survival and metabolic function during fermentation, contributing to consistent probiotic activity and product quality."
PWY-6122,"Function: Catalyzes the formation of 5-aminoimidazole ribonucleotide (AIR), an intermediate in purine nucleotide biosynthesis; Role in LAB: Facilitates purine nucleotide production essential for DNA/RNA synthesis and energy metabolism; Probiotic/Food Relevance: Supports active bacterial growth and metabolic function during fermentation, ensuring consistent probiotic viability and product quality."
P161-PWY,"Function: Catalyzes the breakdown of acetylene into simpler metabolites, facilitating its utilization or detoxification; Role in LAB: Provides the ability to metabolize or detoxify acetylene, supporting survival in specific environmental niches; Probiotic/Food Relevance: May enhance bacterial resilience and adaptability during fermentation processes involving acetylene or related compounds, contributing to stable probiotic performance."
GLYCOGENSYNTH-PWY,"Function: Catalyzes the synthesis of glycogen from ADP-D-glucose, enabling energy storage in polysaccharide form; Role in LAB: Provides a reserve energy source that supports survival during nutrient limitation and stress; Probiotic/Food Relevance: Enhances bacterial endurance and metabolic stability during fermentation, contributing to consistent probiotic viability and product quality."
POLYISOPRENSYN-PWY,"Function: Catalyzes the biosynthesis of polyisoprenoids, long-chain isoprenoid lipids involved in cell membrane and cell wall functions; Role in LAB: Supports membrane integrity and glycoprotein synthesis, contributing to cell stability and stress resistance; Probiotic/Food Relevance: Enhances bacterial durability and metabolic efficiency during fermentation, improving probiotic survival and product consistency."
PWY-5899,"Function: Catalyzes the biosynthesis of menaquinol-13, an essential electron carrier in the bacterial electron transport chain; Role in LAB: Facilitates efficient energy production and respiratory metabolism, enhancing cellular respiration and growth; Probiotic/Food Relevance: Improves bacterial energy metabolism during fermentation, contributing to better probiotic viability and consistent fermentation performance"
PWY-5898,"Function: Catalyzes the biosynthesis of menaquinol-12, an essential electron carrier in the bacterial electron transport chain; Role in LAB: Facilitates efficient energy production and respiratory metabolism, enhancing cellular respiration and growth; Probiotic/Food Relevance: Improves bacterial energy metabolism during fermentation, contributing to better probiotic viability and consistent fermentation performance"
PWY-5897,"Function: Catalyzes the biosynthesis of menaquinol-11, an essential electron carrier in the bacterial electron transport chain; Role in LAB: Facilitates efficient energy production and respiratory metabolism, enhancing cellular respiration and growth; Probiotic/Food Relevance: Improves bacterial energy metabolism during fermentation, contributing to better probiotic viability and consistent fermentation performance"
PWY-5973,"Function: Catalyzes the biosynthesis of cis-vaccenate, a monounsaturated fatty acid involved in membrane lipid composition; Role in LAB: Maintains membrane fluidity and integrity, supporting cellular function and adaptation to stress; Probiotic/Food Relevance: Enhances bacterial resilience and stability during fermentation, improving probiotic survival and product quality"
PWY-7400,
PWY-2941,
PWY-7663,
PWY-7222,
PWY-7220,
PWY-5100,
GLUCUROCAT-PWY,
PWY-2942,
PWY-6385,
PWY0-166,
PWY-6151,
PWY-7539,
PWY-6147,
PWY-5863,
