ec_number,ec_abundance,ec_function,ec_class,ec_class_name,ko_ids,mapped,ko_functions,pathway_ids,pathway_names,brite_subclass,brite_class
EC:6.4.1.2,3,acetyl-CoA carboxylase,6,Ligases,"K01946,K01961,K01962,K01963,K01964,K11262,K11263,K15036,K18472,K18603,K18604,K19312,K22568",no,"acetyl-CoA carboxylase / biotin carboxylase 2, acetyl-CoA carboxylase, biotin carboxylase subunit, acetyl-CoA carboxylase carboxyl transferase subunit alpha, acetyl-CoA carboxylase carboxyl transferase subunit beta, acetyl-CoA/propionyl-CoA carboxylase, acetyl-CoA carboxylase / biotin carboxylase 1, acetyl-CoA/propionyl-CoA/long-chain acyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein, acetyl-CoA/propionyl-CoA carboxylase, acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit, acetyl-CoA/propionyl-CoA carboxylase, acetyl-CoA/propionyl-CoA carboxylase, acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit, acetyl-CoA/propionyl-CoA carboxylase, PccX subunit","map00061, map00074, map00254, map00280, map00620, map00630, map00640, map00720, map01100, map01110, map01120, map01200, map01212, map04152, map04910, map04920, map04922, map04931, map04936","Fatty acid biosynthesis, Mycolic acid biosynthesis, Aflatoxin biosynthesis, Valine, leucine and isoleucine degradation, Pyruvate metabolism, Glyoxylate and dicarboxylate metabolism, Propanoate metabolism, Other carbon fixation pathways, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Fatty acid metabolism, AMPK signaling pathway, Insulin signaling pathway, Adipocytokine signaling pathway, Glucagon signaling pathway, Insulin resistance, Alcoholic liver disease",Amino acid metabolism; Biosynthesis of other secondary metabolites; Carbohydrate metabolism; Endocrine and metabolic disease; Endocrine system; Energy metabolism; Lipid metabolism; Signal transduction,Environmental Information Processing; Human Diseases; Metabolism; Organismal Systems
EC:6.3.5.6,3,asparaginyl-tRNA synthase (glutamine-hydrolyzing),6,Ligases,"K02433,K02434,K02435",no,"aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A, aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B, aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C","map00970, map01100","Aminoacyl-tRNA biosynthesis, Metabolic pathways",Translation,Genetic Information Processing
EC:6.3.5.7,3,glutaminyl-tRNA synthase (glutamine-hydrolyzing),6,Ligases,"K02433,K02434,K02435,K03330,K03865,K09482",no,"aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A, aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B, aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C, glutamyl-tRNA(Gln) amidotransferase subunit E, glutamyl-tRNA(Gln) amidotransferase subunit F, glutamyl-tRNA(Gln) amidotransferase subunit D","map00970, map01100","Aminoacyl-tRNA biosynthesis, Metabolic pathways",Translation,Genetic Information Processing
EC:1.4.1.14,2,glutamate synthase (NADH),1,Oxidoreductases,K00264,no,glutamate synthase (NADH),"map00250, map00910, map01100, map01110, map01120, map01230","Alanine, aspartate and glutamate metabolism, Nitrogen metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Biosynthesis of amino acids",Amino acid metabolism; Energy metabolism,Metabolism
EC:1.1.1.343,2,"phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating)",1,Oxidoreductases,K00033,yes,6-phosphogluconate dehydrogenase,"map00030, map00480, map01100, map01110, map01120, map01200","Pentose phosphate pathway, Glutathione metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism",Carbohydrate metabolism; Metabolism of other amino acids,Metabolism
EC:1.1.1.44,2,"phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)",1,Oxidoreductases,K00033,yes,6-phosphogluconate dehydrogenase,"map00030, map00480, map01100, map01110, map01120, map01200","Pentose phosphate pathway, Glutathione metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism",Carbohydrate metabolism; Metabolism of other amino acids,Metabolism
EC:1.17.4.1,2,ribonucleoside-diphosphate reductase,1,Oxidoreductases,"K00525,K00526,K10807,K10808,K12970,K19448,K26039",no,"ribonucleoside-diphosphate reductase alpha chain, ribonucleoside-diphosphate reductase beta chain, ribonucleoside-diphosphate reductase subunit M1, ribonucleoside-diphosphate reductase subunit M2, Murid betaherpesvirus 1 ribonucleoside-diphosphate reductase, Simplexvirus ribonucleoside-diphosphate reductase large subunit, Straboviridae ribonucleoside-diphosphate reductase subunit alpha","map00230, map00240, map00480, map00983, map01100, map01232, map04115, map04623, map05168","Purine metabolism, Pyrimidine metabolism, Glutathione metabolism, Drug metabolism - other enzymes, Metabolic pathways, Nucleotide metabolism, p53 signaling pathway, Cytosolic DNA-sensing pathway, Herpes simplex virus 1 infection",Cell growth and death; Immune system; Infectious disease: viral; Metabolism of other amino acids; Nucleotide metabolism; Xenobiotics biodegradation and metabolism,Cellular Processes; Human Diseases; Metabolism; Organismal Systems
EC:1.11.1.15,2,and 1.11.1.29,1,Oxidoreductases,,no,,,,,
EC:2.4.2.9,2,uracil phosphoribosyltransferase,2,Transferases,"K00761,K02825",no,"uracil phosphoribosyltransferase, pyrimidine operon attenuation protein / uracil phosphoribosyltransferase","map00240, map01100, map01232","Pyrimidine metabolism, Metabolic pathways, Nucleotide metabolism",Nucleotide metabolism,Metabolism
EC:2.3.1.15,2,glycerol-3-phosphate 1-O-acyltransferase,2,Transferases,"K00629,K00630,K00631,K13506,K13507,K13508",no,"glycerol-3-phosphate O-acyltransferase 1/2, glycerol-3-phosphate O-acyltransferase, glycerol-3-phosphate O-acyltransferase, glycerol-3-phosphate O-acyltransferase 3/4, glycerol-3-phosphate O-acyltransferase / dihydroxyacetone phosphate acyltransferase, glycerol-3-phosphate acyltransferase","map00561, map00564, map01100, map01110","Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites",Lipid metabolism,Metabolism
EC:1.97.1.4,2,[formate-C-acetyltransferase]-activating enzyme,1,Oxidoreductases,"K04068,K04069,K04070",no,"anaerobic ribonucleoside-triphosphate reductase activating protein, pyruvate formate lyase activating enzyme, putative pyruvate formate lyase activating enzyme",,,,
EC:1.2.4.1,2,pyruvate dehydrogenase (acetyl-transferring),1,Oxidoreductases,"K00161,K00162,K00163",no,"pyruvate dehydrogenase E1 component subunit alpha, pyruvate dehydrogenase E1 component subunit beta, pyruvate dehydrogenase E1 component","map00010, map00020, map00620, map00785, map01100, map01110, map01120, map01200, map01210, map04066, map04922, map05230, map05415","Glycolysis / Gluconeogenesis, Citrate cycle (TCA cycle), Pyruvate metabolism, Lipoic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, 2-Oxocarboxylic acid metabolism, HIF-1 signaling pathway, Glucagon signaling pathway, Central carbon metabolism in cancer, Diabetic cardiomyopathy",Cancer: overview; Carbohydrate metabolism; Cardiovascular disease; Endocrine system; Metabolism of cofactors and vitamins; Signal transduction,Environmental Information Processing; Human Diseases; Metabolism; Organismal Systems
EC:1.20.4.1,2,arsenate reductase (glutathione/glutaredoxin),1,Oxidoreductases,"K00537,K18065,K22547",no,"arsenate reductase (glutaredoxin), Cdc25 family phosphatase, arsenate reductase",,,,
EC:1.3.1.9,2,enoyl-[acyl-carrier-protein] reductase (NADH),1,Oxidoreductases,"K00208,K00209,K02371",no,"enoyl-[acyl-carrier protein] reductase I, enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+), enoyl-[acyl-carrier protein] reductase II","map00061, map00333, map00650, map00780, map01100, map01110, map01120, map01200, map01212, map01240","Fatty acid biosynthesis, Prodigiosin biosynthesis, Butanoate metabolism, Biotin metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Fatty acid metabolism, Biosynthesis of cofactors",Biosynthesis of other secondary metabolites; Carbohydrate metabolism; Lipid metabolism; Metabolism of cofactors and vitamins,Metabolism
EC:1.4.1.13,2,glutamate synthase (NADPH),1,Oxidoreductases,"K00265,K00266",no,"glutamate synthase (NADPH) large chain, glutamate synthase (NADPH) small chain","map00250, map00910, map01100, map01110, map01120, map01230","Alanine, aspartate and glutamate metabolism, Nitrogen metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Biosynthesis of amino acids",Amino acid metabolism; Energy metabolism,Metabolism
EC:3.1.11.6,2,exodeoxyribonuclease VII,3,Hydrolases,"K03601,K03602",no,"exodeoxyribonuclease VII large subunit, exodeoxyribonuclease VII small subunit",map03430,Mismatch repair,Replication and repair,Genetic Information Processing
EC:3.6.1.27,2,undecaprenyl-diphosphate phosphatase,3,Hydrolases,"K01096,K06153,K19302",no,"phosphatidylglycerophosphatase B, undecaprenyl-diphosphatase, undecaprenyl-diphosphatase","map00550, map00552, map00564, map01100","Peptidoglycan biosynthesis, Teichoic acid biosynthesis, Glycerophospholipid metabolism, Metabolic pathways",Glycan biosynthesis and metabolism; Lipid metabolism,Metabolism
EC:3.6.1.1,2,inorganic diphosphatase,3,Hydrolases,"K01507,K06019,K11725,K11726,K15986",no,"inorganic pyrophosphatase, pyrophosphatase PpaX, phospholysine phosphohistidine inorganic pyrophosphate phosphatase, nucleosome-remodeling factor 38 kDa subunit, manganese-dependent inorganic pyrophosphatase","map00190, map03082","Oxidative phosphorylation, ATP-dependent chromatin remodeling",Chromosome; Energy metabolism,Genetic Information Processing; Metabolism
EC:3.6.3.17,2,ABC-type D-allose transporter,3,Hydrolases,,no,,,,,
EC:3.6.3.14,2,H(+)-transporting two-sector ATPase,3,Hydrolases,,no,,,,,
EC:3.2.1.52,2,beta-N-acetylhexosaminidase,3,Hydrolases,"K01207,K12373,K14459,K20730",no,"beta-N-acetylhexosaminidase, hexosaminidase, hexosaminidase, beta-hexosaminidase Fdl","map00511, map00513, map00520, map00531, map00600, map00603, map00604, map01100, map01501, map04142","Other glycan degradation, Various types of N-glycan biosynthesis, Amino sugar and nucleotide sugar metabolism, Glycosaminoglycan degradation, Sphingolipid metabolism, Glycosphingolipid biosynthesis - globo and isoglobo series, Glycosphingolipid biosynthesis - ganglio series, Metabolic pathways, beta-Lactam resistance, Lysosome",Drug resistance: antimicrobial; Glycan biosynthesis and metabolism; Lipid metabolism; Transport and catabolism,Cellular Processes; Human Diseases; Metabolism
EC:3.4.16.4,2,serine-type D-Ala-D-Ala carboxypeptidase,3,Hydrolases,"K01286,K02545,K03587,K05365,K05366,K05515,K07258,K07259,K12555,K18770,K18988,K21464,K21469",no,"D-alanyl-D-alanine carboxypeptidase, penicillin-binding protein 2 prime, cell division protein FtsI (penicillin-binding protein 3), penicillin-binding protein 1B, penicillin-binding protein 1A, penicillin-binding protein 2, serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6), serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4), penicillin-binding protein 2A, penicillin-binding protein 4, serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase, penicillin-binding protein 2D, serine-type D-Ala-D-Ala carboxypeptidase","map00550, map01100, map01501","Peptidoglycan biosynthesis, Metabolic pathways, beta-Lactam resistance",Drug resistance: antimicrobial; Glycan biosynthesis and metabolism,Human Diseases; Metabolism
EC:3.1.26.4,2,ribonuclease H,3,Hydrolases,"K03469,K03470,K03471,K10743,K14159,K18950,K21037,K22316,K25055",no,"ribonuclease HI, ribonuclease HII, ribonuclease HIII, ribonuclease H2 subunit A, ribonuclease HI / DNA polymerase III subunit epsilon, Straboviridae ribonuclease H, Hepadnaviridae DNA polymerase / reverse transcriptase / ribonuclease H, ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase, HTLV-1 reverse transcriptase / ribonuclease H","map00860, map01100, map01240, map03030, map03230, map03240, map03272, map03430, map03440, map05161, map05166","Porphyrin metabolism, Metabolic pathways, Biosynthesis of cofactors, DNA replication, Viral genome structure, Viral replication, Virion - Hepatitis viruses, Mismatch repair, Homologous recombination, Hepatitis B, Human T-cell leukemia virus 1 infection",Infectious disease: viral; Information processing in viruses; Metabolism of cofactors and vitamins; Replication and repair,Genetic Information Processing; Human Diseases; Metabolism
EC:3.1.21.3,2,type I site-specific deoxyribonuclease,3,Hydrolases,"K01153,K01154",no,"type I restriction enzyme, R subunit, type I restriction enzyme, S subunit",,,,
EC:3.6.3.5,2,P-type Zn(2+) transporter,3,Hydrolases,,no,,,,,
EC:3.6.3.34,2,ABC-type ferric hydroxamate transporter,3,Hydrolases,,no,,,,,
EC:3.6.3.3,2,Cd(2+)-exporting ATPase,3,Hydrolases,,no,,,,,
EC:3.6.3.27,2,ABC-type phosphate transporter,3,Hydrolases,,no,,,,,
EC:4.2.1.33,2,3-isopropylmalate dehydratase,4,Lyases,"K01702,K01703,K01704,K21359",no,"3-isopropylmalate dehydratase, 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit, 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit, 3-isopropylmalate/methylthioalkylmalate dehydratase small subunit","map00290, map00660, map00966, map01100, map01110, map01210, map01230","Valine, leucine and isoleucine biosynthesis, C5-Branched dibasic acid metabolism, Glucosinolate biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids",Amino acid metabolism; Biosynthesis of other secondary metabolites; Carbohydrate metabolism,Metabolism
EC:3.6.4.13,2,RNA helicase,3,Hydrolases,,no,,,,,
EC:4.2.1.20,2,tryptophan synthase,4,Lyases,"K01694,K01695,K01696,K06001",no,"tryptophan synthase, tryptophan synthase alpha chain, tryptophan synthase beta chain, tryptophan synthase beta chain","map00260, map00400, map01100, map01110, map01230","Glycine, serine and threonine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids",Amino acid metabolism,Metabolism
EC:4.1.3.27,2,anthranilate synthase,4,Lyases,"K01656,K01657,K01658,K13497,K13501,K13503",no,"anthranilate synthase / indole-3-glycerol phosphate synthase, anthranilate synthase component I, anthranilate synthase component II, anthranilate synthase/phosphoribosyltransferase, anthranilate synthase / indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase, anthranilate synthase","map00400, map00405, map01100, map01110, map01230, map02024, map02025","Phenylalanine, tyrosine and tryptophan biosynthesis, Phenazine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids, Quorum sensing, Biofilm formation - Pseudomonas aeruginosa",Amino acid metabolism; Biosynthesis of other secondary metabolites; Cellular community - prokaryotes,Cellular Processes; Metabolism
EC:4.4.1.8,2,cysteine-S-conjugate beta-lyase,4,Lyases,,no,,,,,
EC:4.2.99.18,2,DNA-(apurinic or apyrimidinic site) lyase,4,Lyases,"K01741,K03653,K03660,K05522,K10563,K10567,K10568,K10569,K10765,K10773",no,"DNA-(apurinic or apyrimidinic site) lyase, N-glycosylase/DNA lyase, N-glycosylase/DNA lyase, endonuclease VIII, formamidopyrimidine-DNA glycosylase, endonuclease VIII-like 1, endonuclease VIII-like 2, endonuclease VIII-like 3, alkylated DNA repair protein alkB homolog 1, endonuclease III",map03410,Base excision repair,Replication and repair,Genetic Information Processing
EC:4.2.1.35,2,(R)-2-methylmalate dehydratase,4,Lyases,"K01703,K01704",no,"3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit, 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit","map00290, map00660, map00966, map01100, map01110, map01210, map01230","Valine, leucine and isoleucine biosynthesis, C5-Branched dibasic acid metabolism, Glucosinolate biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids",Amino acid metabolism; Biosynthesis of other secondary metabolites; Carbohydrate metabolism,Metabolism
EC:5.99.1.3,2,DNA topoisomerase (ATP-hydrolyzing),5,Isomerases,,no,,,,,
EC:6.1.1.20,2,phenylalanine--tRNA ligase,6,Ligases,"K01889,K01890",no,"phenylalanyl-tRNA synthetase alpha chain, phenylalanyl-tRNA synthetase beta chain",map00970,Aminoacyl-tRNA biosynthesis,Translation,Genetic Information Processing
EC:6.1.1.14,2,glycine--tRNA ligase,6,Ligases,"K01878,K01879,K01880,K14164",no,"glycyl-tRNA synthetase alpha chain, glycyl-tRNA synthetase beta chain, glycyl-tRNA synthetase, glycyl-tRNA synthetase",map00970,Aminoacyl-tRNA biosynthesis,Translation,Genetic Information Processing
EC:6.1.1.13,2,D-alanine--poly(phosphoribitol) ligase,6,Ligases,"K03367,K14188",no,"D-alanine--poly(phosphoribitol) ligase subunit 1, D-alanine--poly(phosphoribitol) ligase subunit 2","map00470, map00552, map01100, map01503, map02020, map05150","D-Amino acid metabolism, Teichoic acid biosynthesis, Metabolic pathways, Cationic antimicrobial peptide (CAMP) resistance, Two-component system, Staphylococcus aureus infection",Drug resistance: antimicrobial; Glycan biosynthesis and metabolism; Infectious disease: bacterial; Metabolism of other amino acids; Signal transduction,Environmental Information Processing; Human Diseases; Metabolism
EC:6.3.5.5,2,carbamoyl-phosphate synthase (glutamine-hydrolyzing),6,Ligases,"K01954,K01955,K01956,K11540,K11541",no,"carbamoyl-phosphate synthase, carbamoyl-phosphate synthase large subunit, carbamoyl-phosphate synthase small subunit, carbamoyl-phosphate synthase / aspartate carbamoyltransferase / dihydroorotase, carbamoyl-phosphate synthase / aspartate carbamoyltransferase","map00220, map00240, map00250, map01100, map01110, map01240","Arginine biosynthesis, Pyrimidine metabolism, Alanine, aspartate and glutamate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of cofactors",Amino acid metabolism; Nucleotide metabolism,Metabolism
